OverallQual,GrLivArea,GarageArea,TotalBsmtSF,YearBuilt,YearRemodAdd,KitchenQual,GarageFinish,SalePrice
3,864,0,864,1914,1950,2,0,67000
6,2614,624,1522,1974,1997,2,2,240000
5,980,484,980,1977,1977,2,1,135000
6,1512,440,756,2000,2000,3,1,168500
6,1790,484,732,1972,1972,2,2,165150
6,1116,440,1116,1962,1962,2,1,160000
5,1422,286,978,1960,1978,2,2,139900
6,1520,364,1156,1955,1972,2,2,153000
5,2080,504,1040,1969,1969,1,1,135000
6,1350,520,1248,1964,1964,2,2,168500
5,1750,240,636,1880,1991,4,1,124000
8,1554,627,1554,2006,2006,3,2,209500
7,1411,544,1386,1977,1977,2,3,82500
5,1056,260,1056,1954,2005,2,1,139400
6,1056,576,1056,1980,1980,2,1,144000
6,3395,0,1440,1914,1995,1,0,200000
2,800,0,264,1936,1950,1,0,60000
5,1387,256,811,1954,1954,3,1,93000
5,796,0,796,1910,1950,2,0,85000
8,1567,648,1520,2006,2006,4,3,264561
8,1518,588,1518,2003,2004,4,2,274000
7,1929,650,1057,2001,2001,3,3,226000
8,2704,538,1952,1972,1995,4,3,345000
5,1620,462,780,1969,1969,2,3,152000
9,1766,478,1766,2009,2009,4,3,370878
6,981,576,981,1971,1971,2,1,143250
5,1048,420,0,1950,1950,2,1,98300
6,1094,495,1094,1953,1953,2,0,155000
6,1839,442,756,1966,1966,2,1,155000
4,630,0,630,1970,1970,2,0,84500
7,1665,562,813,2007,2007,3,2,205950
4,1510,296,755,1940,1950,2,0,108000
7,1716,512,880,1996,1996,3,2,191000
6,1469,216,756,1906,1995,2,1,135000
8,2113,839,2109,1995,1995,3,3,350000
6,1092,264,525,1971,1971,2,1,88000
5,1053,312,1053,1959,2006,3,2,145500
7,1502,270,776,1931,2000,2,2,149000
6,1458,330,912,1948,1950,2,1,97500
5,1486,480,1486,1964,1999,2,3,167000
7,1935,550,793,1976,1976,2,2,197900
8,2448,711,1629,1994,2005,3,2,402000
6,1392,576,1392,1968,1968,2,2,110000
4,1181,588,1138,1972,1972,2,2,137500
8,2097,1134,2077,2005,2006,4,3,423000
8,1936,504,1406,2000,2000,3,2,230500
6,2380,596,1021,1965,1979,2,1,129000
6,1679,575,1408,1994,1998,3,2,193500
5,1437,576,1188,1956,1987,2,1,168000
4,1180,252,700,1922,1950,1,1,137500
6,1476,540,738,2005,2005,3,3,173500
6,1369,300,672,1925,1950,2,0,103600
6,1208,546,1208,1977,1977,2,2,165000
6,1839,416,1477,1957,2004,3,3,257500
6,1136,384,1136,1965,1965,2,0,140000
6,1441,440,855,1978,1978,2,1,148500
4,1774,779,1095,1900,1950,2,1,87000
5,792,240,768,1924,2006,3,1,109500
8,2046,834,2046,2008,2008,3,3,372500
5,988,572,988,1961,1961,2,1,128500
6,923,264,923,1980,1980,2,2,143000
5,1520,281,793,1932,2000,2,1,159434
6,1291,431,1291,1996,1997,3,1,173000
9,1668,702,1626,2002,2002,3,0,285000
7,1839,486,1195,1998,1998,2,3,221000
7,2090,577,1190,1984,1984,3,3,207500
7,1761,578,874,2007,2007,3,3,227875
7,1102,480,551,2004,2004,3,1,148800
8,1419,567,1419,2007,2007,3,2,392000
6,1362,460,1362,2005,2006,3,0,194700
6,848,420,848,2004,2004,3,2,141000
10,4316,832,2444,1994,1995,4,3,755000
7,2519,628,1210,1989,1990,3,2,335000
5,1073,326,1073,1921,1968,2,0,108480
5,1539,576,927,1936,1950,2,1,141500
6,1137,551,1112,1987,1987,3,1,176000
5,616,205,616,1921,1950,2,1,89000
5,1148,308,980,1952,1952,2,1,123500
5,894,336,894,1965,2009,2,1,138500
7,1391,530,1391,2004,2004,3,0,196000
8,1800,765,1800,2002,2002,3,3,312500
7,1164,528,1164,1969,1969,2,1,140000
8,2576,666,1234,2006,2006,4,3,361919
5,1812,672,360,1900,1996,3,1,140000
7,1484,606,1473,2004,2005,3,2,213000
4,1092,0,0,1930,1950,1,0,55000
7,1824,739,1643,1971,2002,3,1,302000
8,1324,550,1324,2006,2006,3,3,254000
7,1456,400,728,2007,2007,3,3,179540
5,904,408,876,1966,1966,2,1,109900
3,729,0,270,1935,2003,2,0,52000
4,1178,384,859,1900,1950,2,2,102776
8,1228,472,1228,1988,1989,3,3,189000
4,960,576,960,1970,1970,2,1,129000
6,1479,475,725,1976,2005,3,2,130500
6,1350,478,1064,1974,1974,2,2,165000
7,2554,704,718,1890,1998,2,1,159500
5,1178,439,1176,1973,2000,3,1,157000
7,2418,983,1311,1993,1994,3,2,341000
5,971,300,971,1969,1969,2,1,128500
8,1742,564,1742,1985,1985,3,2,275000
6,848,420,848,2004,2004,3,0,143000
4,864,463,864,1970,1970,2,1,124500
4,1470,548,941,1954,1972,2,1,135000
9,1698,768,1698,2007,2008,4,0,320000
4,864,660,864,1970,1970,3,1,120500
6,1680,540,880,1988,2007,3,3,222000
7,1232,632,1232,2007,2007,3,0,194500
5,1776,888,1584,1958,1958,2,1,110000
4,1208,539,780,1925,1950,2,1,103000
8,1616,608,1595,1995,1996,3,2,236500
7,1146,438,868,2003,2003,3,0,187500
7,2031,541,1153,1998,1999,3,3,222500
5,1144,264,864,1961,1983,2,2,131400
5,948,300,948,1968,1968,2,1,108000
7,1768,320,880,1914,1970,2,1,163000
3,1040,400,0,1950,1950,2,1,93500
8,1801,800,893,2005,2005,3,0,239900
5,1200,0,1200,1987,1988,2,0,179000
7,1728,572,864,2004,2004,3,2,190000
5,1432,360,264,1910,2002,2,1,132000
6,912,288,912,1961,1996,3,0,142000
7,1349,539,1349,2000,2001,2,1,179000
5,1464,480,520,1963,1999,2,2,175000
8,1337,462,1337,1993,1993,3,2,180000
8,2715,831,1142,1976,1996,3,3,299800
7,2256,554,952,2000,2000,3,3,236000
7,2640,864,1240,1880,2003,3,1,265979
7,1720,527,1720,1996,1996,3,3,260400
4,1529,240,0,1945,1950,2,1,98000
4,1140,0,576,1910,2004,2,0,96500
7,1320,400,660,2003,2003,3,3,162000
6,1494,576,1479,1997,1997,3,2,217000
8,2098,878,1030,2005,2005,4,2,275500
6,1026,440,1026,1969,2005,3,2,156000
6,1471,440,729,1999,1999,2,1,172500
8,1768,578,866,2007,2007,3,2,212000
6,1386,440,672,1978,1978,2,3,158900
7,1501,440,744,1999,1999,2,1,179400
8,2531,752,1318,1995,1995,3,2,290000
6,864,300,864,1959,1959,2,1,127500
5,1301,440,1145,1924,1950,1,1,100000
7,1547,614,756,2009,2009,3,1,215200
8,2365,856,1252,1999,1999,3,0,337000
8,1494,481,1494,1995,1996,4,3,270000
9,1506,592,1498,2008,2008,4,0,264132
7,1714,496,980,1988,1988,2,1,196500
6,1750,423,983,1940,1985,2,1,160000
7,1836,484,1860,2004,2005,3,3,216837
8,3279,841,1650,2003,2003,4,3,538000
5,858,576,858,1982,1982,2,1,134900
4,1220,396,836,1951,1951,2,1,102000
6,1117,672,1029,1976,1976,2,0,107000
5,912,275,912,1958,1958,2,2,114500
8,1973,895,1935,2006,2006,3,3,395000
6,1204,412,1204,1998,1998,2,0,162000
7,1614,865,1614,2005,2006,3,2,221500
5,894,440,864,1974,1974,2,1,142500
5,2020,630,0,1977,1977,2,1,144000
6,1004,504,975,1977,1977,2,1,135000
7,1253,402,1237,1995,1996,2,3,176000
6,1603,484,761,1992,1992,3,2,175900
7,1430,605,1413,2001,2002,3,2,187100
5,1110,602,1097,1978,1978,3,3,165500
6,1484,0,742,1914,2001,2,0,128000
6,1342,457,1372,1967,1967,2,1,161500
5,1652,416,686,1915,1950,2,1,139000
7,2084,618,956,2004,2004,3,2,233000
4,901,281,901,1954,2000,2,1,107900
6,2087,444,832,1966,2007,3,3,187500
7,1145,397,1145,2005,2006,3,3,160200
6,1062,539,1029,1976,1976,2,2,146800
7,2013,455,1117,1996,1997,2,1,269790
8,1496,474,1496,2007,2007,3,0,225000
7,1895,409,712,1994,1996,3,3,194500
6,1564,476,650,1980,1981,2,1,171000
6,1285,528,660,1977,1977,2,2,143500
5,773,240,773,1953,1953,2,1,110000
9,3140,820,1926,2008,2009,4,3,485000
5,1768,240,731,1937,1950,3,1,175000
6,1688,603,616,1997,1997,3,2,200000
4,1196,440,1196,1916,1990,2,1,109900
7,1456,410,728,2005,2005,3,3,189000
9,2822,1020,1734,2008,2009,4,2,582933
5,1128,286,936,1954,1954,2,1,118000
7,1428,554,1417,2008,2008,4,2,227680
5,980,384,980,1967,1967,2,3,135500
5,1576,528,1324,1923,2004,3,2,223500
5,1086,484,1024,1966,1966,2,2,159950
5,2138,360,849,1898,1965,2,1,106000
6,1309,484,1040,1974,1999,3,2,181000
6,848,420,848,2004,2004,3,3,144500
5,1044,504,540,1952,1952,1,1,55993
6,1442,301,1442,1958,1958,2,2,157900
5,1250,280,686,1918,1950,1,0,116000
7,1661,598,1649,1998,1998,3,2,224900
5,1008,275,1008,1954,1954,2,0,137000
8,1689,857,1568,2002,2002,3,2,271000
6,1052,440,1010,1971,1971,2,1,155000
7,1358,484,1358,2009,2010,3,2,224000
7,1640,595,798,2003,2003,3,2,183000
4,936,576,936,1953,1953,2,1,93000
7,1733,433,847,2003,2003,3,3,225000
6,1489,240,778,1940,1950,2,1,139500
8,1489,776,1489,2006,2006,3,2,232600
10,2084,1220,2078,2007,2008,4,3,385000
5,784,0,784,1924,1950,3,0,109500
7,1434,527,1454,2001,2001,3,2,189000
5,2126,538,1013,1967,1967,2,3,185000
7,1223,480,600,2005,2005,3,2,147400
6,1392,458,1392,1957,1957,2,2,166000
7,1200,480,600,2005,2005,3,2,151000
7,1829,613,941,2003,2003,3,2,237000
6,1516,472,1516,1964,1964,2,2,167000
5,1144,456,1144,1961,1961,2,1,139950
4,1067,436,1067,1950,1995,3,1,128000
5,1559,812,1559,1948,1973,2,1,153500
6,987,264,483,1973,1973,2,1,100000
5,1099,352,1099,1995,2006,3,1,144000
5,1200,240,768,1946,1995,2,1,130500
6,1482,400,672,1925,1950,1,1,140000
5,1539,686,650,1904,2002,3,1,157500
6,1165,490,1127,1966,1966,2,2,174900
5,1800,0,1800,1961,1961,2,0,141000
5,1416,720,876,1915,1950,2,1,153900
5,1701,611,1390,1975,1981,2,3,171000
7,1775,425,740,1993,1993,3,0,213000
5,864,338,864,1972,1972,2,1,133500
6,2358,360,907,1908,1997,2,0,240000
6,1855,512,528,1976,1994,2,2,187000
6,848,420,848,2003,2003,3,3,131500
8,1456,400,1273,2003,2003,3,3,215000
7,1646,240,918,1941,1950,2,1,164000
6,1445,645,1127,1964,1964,2,2,158000
5,1779,454,1763,1955,1974,2,1,170000
5,1040,260,1040,1962,2010,2,1,127000
6,1026,576,940,1978,1978,2,1,147000
6,1481,343,702,1994,1995,2,3,174000
7,1370,479,1090,1976,1976,2,2,152000
6,2654,619,1054,1968,1984,3,0,250000
7,1426,216,912,1918,1998,3,1,189950
5,1039,504,1039,1965,1965,2,1,131500
6,1097,480,1040,1984,1985,2,1,152000
5,1148,672,1148,1959,1959,2,1,132500
7,1372,529,1372,2007,2008,3,3,250580
5,1002,902,1002,1970,1970,2,1,148500
8,1646,870,1638,2006,2007,3,2,248900
4,1120,544,1040,1961,1961,1,2,129000
5,2320,672,0,1948,1950,2,1,169000
7,1949,574,1050,1993,1994,3,3,236000
5,894,308,894,1962,1962,2,0,109500
6,1682,523,804,1998,1998,3,2,200500
5,910,414,105,1953,1996,3,1,116000
5,1268,288,832,1949,1950,2,1,133000
5,1131,200,676,1941,1950,2,1,66500
8,2610,550,1184,2007,2007,4,3,303477
4,1040,648,1064,1963,1963,2,1,132250
9,2224,738,1462,2004,2005,4,3,350000
5,1155,576,1109,1961,1995,3,1,148000
5,864,336,864,1978,2005,2,1,136500
5,1090,450,1090,2005,2006,2,3,157000
7,1717,400,1156,1990,1991,3,2,187500
6,1593,389,808,1992,1993,2,2,178000
4,2230,440,795,1912,1950,2,1,118500
5,892,288,892,1967,1967,2,2,100000
9,1709,506,1698,1999,2000,3,3,328900
5,1712,588,1626,1959,2005,2,3,145000
5,1393,300,816,1955,1955,2,1,135500
8,2217,621,2217,1970,1970,3,1,268000
6,1505,505,1505,1953,1953,2,2,149500
5,924,576,672,1949,2006,2,1,122900
6,1683,440,918,1978,1978,2,2,172500
6,1068,264,1059,1963,2003,2,2,154500
5,1383,354,1383,1954,1954,2,0,165000
5,1535,400,0,1979,1979,2,1,118858
6,1796,483,780,1963,1963,2,2,140000
4,951,327,951,1936,1950,2,1,106500
5,2240,528,0,1979,1979,2,1,142953
9,2364,820,2330,2009,2010,4,3,611657
5,1236,288,912,1961,1994,2,1,135000
4,858,684,858,1971,1971,2,1,110000
5,1306,756,992,1957,2000,2,1,153000
7,1509,393,783,2003,2003,3,3,180000
7,1670,690,1670,2006,2006,3,2,240000
5,902,288,876,1967,1967,2,1,125500
5,1063,280,1056,1954,1954,2,2,128000
8,1636,865,1623,2006,2006,3,2,255000
7,2057,180,1017,1936,1987,3,3,250000
5,902,484,864,1983,1983,2,1,131000
6,1484,390,742,2005,2005,3,3,174000
5,2274,480,1105,1960,1960,2,0,154300
5,1268,252,1268,1977,1989,3,1,143500
5,1015,450,768,1925,1950,2,1,88000
5,2002,871,1001,1949,1950,2,1,145000
6,1224,528,612,2009,2009,3,2,173733
4,1092,286,546,1970,1970,2,1,75000
2,480,308,480,1949,1950,2,0,35311
4,1229,284,1134,1956,1956,2,2,135000
7,2127,833,1104,1991,1991,3,2,238000
6,1414,601,1184,1958,2002,2,1,176500
6,1721,471,928,1994,1994,3,0,201000
5,2200,0,1272,1900,2003,2,0,145900
6,1316,397,1316,2005,2006,3,3,169990
6,1617,533,1604,1993,1994,3,0,193000
6,1686,612,1686,1980,1980,2,1,207500
5,1126,540,1126,1977,1977,4,2,175000
8,2374,656,1181,2003,2004,4,3,285000
7,1978,486,832,1968,1968,2,2,176000
8,1788,522,1753,2001,2001,4,2,236500
7,2236,642,964,1997,1997,3,3,222000
8,1466,610,1466,2007,2007,3,3,201000
5,925,429,925,1965,1965,2,1,117500
9,1905,788,1905,2006,2006,4,3,320000
7,1500,570,1500,2004,2004,3,2,190000
7,2069,505,585,1960,2007,3,2,242000
4,747,528,600,1926,1953,2,1,79900
7,1200,555,1176,2003,2003,3,2,184900
7,1971,689,1113,2005,2005,3,2,253000
7,1962,868,1391,2006,2006,3,2,239799
7,2403,349,1032,1940,1950,2,1,244400
6,1728,574,1728,1976,1976,2,1,150900
7,2060,390,992,1999,1999,3,2,214000
4,1440,0,1440,1977,1977,2,0,150000
5,1632,576,1632,1967,1967,2,1,143000
6,1344,525,819,1958,1958,3,2,137500
5,1869,456,1088,1890,1996,2,1,124900
5,1144,796,1144,1959,1959,2,2,143000
8,1629,808,1616,2002,2003,3,3,270000
7,1776,474,936,2002,2002,3,2,192500
6,1381,676,1161,1972,2006,3,0,197500
5,864,720,864,1950,2002,3,2,129000
5,965,300,828,1965,1965,2,1,119900
5,768,396,768,1972,2003,2,3,133900
5,1968,530,784,1969,1969,2,2,172000
6,980,0,945,1975,1975,2,0,127500
6,1958,492,979,1946,1950,2,1,145000
6,1229,462,561,1980,1980,2,3,124000
5,1057,576,1057,1962,1962,2,3,132000
7,1337,531,1337,2003,2003,3,2,185000
7,1416,484,696,1999,1999,3,1,155000
5,858,0,858,1958,2008,2,0,116500
6,2872,619,1330,1977,1995,2,3,272000
6,1548,440,804,1976,1976,3,1,155000
9,1800,702,1800,2007,2007,4,3,239000
7,1894,510,817,2002,2003,3,0,214900
6,1484,393,783,2005,2007,3,3,178900
5,1308,256,728,1940,1950,2,1,160000
5,1098,260,1098,1955,1955,2,0,135000
3,968,0,600,1910,1950,2,0,37900
6,1095,264,588,1958,1958,2,0,140000
4,1192,0,720,1949,1950,2,0,135000
7,1626,474,764,2003,2004,3,2,173000
6,918,264,918,1979,1979,2,1,99500
7,1428,480,1428,2007,2008,3,3,182000
7,2019,532,728,1910,1993,3,1,167500
7,1382,490,673,2000,2000,3,1,165000
4,869,0,440,1923,1958,1,0,85500
7,1241,569,1241,2006,2007,3,0,199900
4,894,400,894,1954,1954,2,1,110000
5,1121,480,1121,1963,1963,2,1,139000
7,999,588,944,1961,2007,4,2,178400
8,2612,676,1225,1998,1999,3,3,336000
7,1266,388,1266,2007,2007,3,3,159895
8,2290,779,1128,2002,2002,3,1,255900
5,1734,539,0,1977,1977,3,1,126000
5,1164,240,1164,1950,1950,2,1,125000
6,1635,255,485,1910,2003,3,1,117000
9,1940,606,1930,2009,2010,4,3,395192
6,2030,551,848,1976,1976,3,3,195000
7,1576,614,770,2006,2006,3,2,197000
8,2392,870,1396,1997,1998,3,3,348000
8,1742,424,916,1882,1986,3,1,168000
6,1851,440,822,1964,1993,3,2,187000
6,1500,564,750,2005,2006,3,2,173900
10,1718,786,1700,2006,2007,4,3,337500
4,1230,305,747,1946,1950,2,1,121600
5,1050,368,1050,1961,1961,2,1,136500
6,1442,615,1442,1970,1970,2,2,185000
3,1077,210,1007,1922,1950,2,1,91000
7,1208,632,1187,2006,2006,3,2,206000
3,944,528,0,1952,1952,1,1,82000
5,691,216,691,1920,1950,4,1,86000
8,1574,824,1574,2006,2006,3,2,232000
5,1680,528,1680,1976,1976,2,1,136905
7,1504,457,1346,2005,2006,3,3,181000
5,985,328,985,1977,1977,2,1,149900
6,1657,484,1657,1970,1970,2,1,163500
4,1092,286,546,1970,1970,2,2,88000
7,1710,550,1710,2004,2005,3,0,240000
5,1522,0,1008,1926,1950,2,0,102000
5,1271,312,720,1948,1950,2,0,135000
5,1664,0,0,1965,1965,2,0,100000
6,1502,180,602,1923,1996,3,1,165000
5,1022,280,1022,1910,2006,2,1,85000
6,1082,240,1082,1948,1950,2,1,119200
8,1665,528,810,2001,2001,3,3,227000
7,1504,478,1504,1996,1996,3,3,203000
8,1360,565,1220,1984,1984,3,2,187500
7,1472,402,384,1991,1992,3,2,160000
7,1506,440,1362,2005,2005,3,0,213490
4,1132,451,1132,2005,2005,3,3,176000
7,1220,632,1199,2006,2006,3,2,194000
5,1248,160,912,1930,1950,2,1,87000
7,1504,437,1346,2005,2006,3,3,191000
8,2898,665,1565,1976,1976,3,3,287000
5,882,461,882,1972,1972,2,1,112500
5,1264,461,1268,1960,1960,2,1,167500
8,1646,800,1638,2007,2008,3,2,293077
5,1376,240,768,1941,1950,2,1,105000
6,1218,264,672,1972,1972,2,1,118000
5,1928,0,686,1916,1995,2,0,160000
7,3082,672,824,1920,1970,2,3,197000
8,2520,796,1338,1993,1993,3,2,310000
7,1654,900,1654,2002,2002,3,1,230000
5,954,240,920,1938,1950,1,1,119750
4,845,290,0,1957,1957,2,1,84000
9,1620,912,1620,2007,2008,4,3,315500
8,2263,905,1055,2001,2002,3,3,287000
4,1344,0,546,1970,2008,2,0,97000
4,630,286,630,1970,1970,2,1,80000
5,1803,484,1134,1957,2000,2,2,155000
6,1632,484,800,1966,2000,3,1,173000
6,1306,624,1306,2005,2005,3,0,196000
7,2329,514,1475,1990,1990,3,1,262280
8,2524,542,2524,1981,1981,3,3,278000
3,1733,452,0,1955,1955,2,1,139600
9,2868,716,1992,2005,2006,4,3,556581
5,990,672,990,1994,1995,2,1,145000
5,1771,336,0,1960,2006,2,1,115000
4,930,308,0,1946,2006,3,1,84900
7,1302,436,1302,2007,2007,3,3,176485
7,1316,440,1316,2007,2007,3,3,200141
6,1977,540,816,1964,1978,2,2,165000
5,1526,364,1216,1957,2002,2,0,144500
8,1989,586,1065,2002,2002,3,3,255000
6,1523,478,1193,1976,1976,2,3,180000
7,1364,484,1364,2005,2005,3,2,185850
7,1850,467,973,1994,1994,3,3,248000
9,2184,836,1104,2008,2008,4,3,335000
6,1991,432,854,1932,1950,2,1,220000
8,1338,582,1338,2001,2001,3,3,213500
3,894,1248,894,1935,1950,2,2,81000
5,2337,560,662,1900,1950,2,1,90000
6,1103,440,1103,1925,1980,3,0,110500
5,1154,480,1154,1966,1966,2,2,154000
7,2260,533,1306,1996,1997,3,0,328000
6,1571,380,799,1993,1994,2,2,178000
6,1611,442,780,1964,1964,2,2,167900
6,2521,576,942,1973,1973,2,0,151400
5,893,576,845,1949,2003,3,1,135000
5,1048,286,1048,1956,1956,2,1,135000
6,1556,441,727,1968,1968,2,0,154000
5,1456,280,810,1948,1950,2,1,91500
6,1426,440,690,1977,1977,2,3,159500
7,1240,826,1240,2006,2006,3,2,194000
7,1740,240,800,1940,1984,2,1,219500
5,1466,566,796,1936,1989,3,0,170000
5,1096,299,1096,1969,1969,2,3,138800
6,848,420,848,2004,2004,3,2,155900
5,990,299,990,1994,1994,2,1,126000
6,1258,528,1258,1971,2004,3,0,145000
5,1040,308,1040,1963,1963,2,3,133000
7,1459,527,1459,2002,2002,3,2,192000
6,1251,461,1251,1964,1964,2,0,160000
6,1498,409,691,1995,1996,2,3,187500
6,996,564,936,1992,1992,3,1,147000
4,1092,286,546,1973,1973,2,2,83500
8,1953,1043,1082,2005,2006,3,2,252000
7,1709,380,970,2004,2004,3,1,137500
8,1247,550,1247,2005,2005,3,3,197000
3,1040,400,0,1950,1950,2,1,92900
7,1252,462,600,1999,2000,3,0,160000
6,1694,576,1181,1925,1950,2,1,136500
5,1200,884,864,1965,1998,3,1,146000
5,936,308,936,1956,2000,2,3,129000
6,1314,440,1314,2006,2006,3,2,176432
6,1355,0,684,1914,2006,3,0,127000
8,1088,461,1074,1986,1986,3,2,170000
4,1324,240,672,1936,1950,2,1,128000
7,1601,478,1271,1978,1978,2,2,157000
2,438,246,290,1920,1950,1,1,60000
5,950,280,950,1971,1971,2,1,119500
5,1134,254,1010,1960,2002,2,0,135000
6,1194,539,655,1959,1959,2,3,159500
5,1302,440,630,1970,1970,2,1,106000
8,2622,712,1463,1994,1995,3,2,325000
7,1442,719,910,1990,1991,3,3,179900
7,2021,422,868,2006,2006,3,2,274725
6,1690,463,924,2000,2000,2,2,181000
8,1836,862,1836,2004,2005,3,3,280000
6,1658,431,773,1995,1996,2,3,188000
7,1964,483,803,1976,1976,2,2,205000
5,816,308,816,1957,1957,2,1,129900
5,1008,240,1008,1953,2006,3,1,134500
5,833,326,833,1954,2000,3,1,117000
8,1734,928,1734,2007,2007,4,0,318000
8,1419,527,408,2002,2002,3,3,184100
5,894,450,894,1967,2003,3,2,130000
5,1601,300,533,1958,1987,2,2,140000
5,1040,286,1040,1959,1959,2,2,133700
6,1012,308,1012,1920,1950,2,1,118400
7,1552,782,1552,2005,2006,3,0,212900
4,960,288,672,1956,1956,2,1,112000
5,698,0,698,1947,2008,2,0,118000
7,1482,392,384,1992,1992,3,3,163900
4,1005,672,1005,1955,1955,1,1,115000
7,1555,660,1373,2007,2007,3,3,174000
7,1530,630,1530,2004,2004,3,3,259000
7,1959,434,847,2004,2005,3,3,215000
5,936,672,936,1980,1980,2,1,140000
4,1981,576,1122,1928,1950,3,1,135000
5,974,0,974,1991,1992,2,0,93500
6,2210,205,1008,1880,1950,1,1,117500
8,2020,466,1128,1995,1995,3,2,239500
6,1600,460,916,1997,1997,2,3,169000
6,986,180,960,1926,1950,2,1,102000
6,1252,288,1032,1950,1950,2,1,119000
5,1020,0,780,1875,1996,2,0,94000
6,1567,714,1567,1977,1977,3,2,196000
5,1167,495,915,1920,1950,2,1,144000
5,952,840,952,1951,1951,2,1,139000
5,1868,484,780,1976,1976,3,1,197500
8,2828,1052,1466,2006,2007,3,2,424870
5,1006,0,1006,1959,1959,2,0,80000
4,924,280,672,1941,1950,1,1,80000
5,1576,225,1042,1928,1950,2,1,149000
6,1298,403,1298,1985,1985,3,0,180000
7,1564,234,704,1941,1950,1,1,174500
7,1111,288,572,1926,1950,2,1,116900
7,1482,324,650,1920,1988,2,1,143000
6,932,306,932,1950,1950,3,1,124000
5,1466,528,1466,1959,1959,1,3,149900
6,1811,470,1073,1956,2004,4,3,230000
6,816,432,816,1930,2007,2,1,120500
7,1820,492,864,1965,1988,3,1,201800
5,1437,528,1437,1976,2004,3,2,218000
5,1265,502,1219,1965,1999,3,2,179900
7,1314,626,1314,2007,2008,3,0,230000
8,1580,830,1580,2007,2008,3,2,235128
6,1876,540,901,1974,1974,3,2,185000
6,1456,440,855,1978,1978,2,1,146000
6,1640,924,1296,1954,2006,3,1,224000
5,894,450,894,1968,1968,2,0,129000
4,1258,400,1198,1969,1969,2,1,108959
5,1432,588,1360,1978,1978,3,1,194000
7,1502,644,1502,2009,2009,3,2,233170
8,1694,776,1694,2008,2008,3,0,245350
6,1671,472,959,2000,2000,2,3,173000
6,2108,540,1127,1935,1986,3,1,235000
10,3627,807,1930,1995,1996,3,3,625000
6,1118,358,1096,1977,1977,2,3,171000
6,1261,433,1261,1958,1958,2,2,163000
7,1250,625,625,2006,2007,3,3,171900
5,3086,0,1598,1946,1994,4,0,200500
6,2345,360,952,1932,1950,2,1,239000
8,2872,541,1683,1992,2000,3,3,285000
5,923,264,876,1984,1985,2,1,119500
6,1224,210,818,1926,2004,2,1,115000
5,1343,186,731,1921,1950,2,1,154900
5,1124,0,0,1954,1954,2,0,93000
7,2514,693,1216,1990,1991,2,3,250000
8,1652,482,1600,2008,2008,3,0,392500
10,4476,813,2396,1996,1996,4,3,745000
5,1130,720,1120,1920,1950,2,1,120000
5,1572,995,1572,1963,1963,2,2,186700
5,1221,392,784,1924,1950,2,1,104900
3,1699,420,978,1900,1970,2,1,95000
8,1624,757,1624,1994,1995,3,2,262000
7,1660,493,831,2002,2002,3,2,195000
7,1804,442,994,1999,1999,3,3,189000
4,1622,1356,1249,1961,1975,2,3,168000
8,1441,492,776,1999,2000,3,1,174000
5,1472,250,702,1925,1994,3,1,125000
6,1224,402,1224,1999,1999,2,3,165000
6,1352,299,663,1969,1969,2,3,158000
6,1456,400,728,2005,2005,3,0,176000
7,1863,660,879,2006,2006,3,3,219210
7,1690,225,815,1916,1950,2,0,144000
7,1212,573,1212,2001,2001,3,2,178000
4,1382,459,1051,1963,1979,2,0,148000
4,864,280,864,1970,1970,2,0,116050
7,1779,546,866,1998,1998,3,2,197900
5,1348,216,884,1925,1997,2,1,117000
7,1630,451,1630,2000,2001,3,1,213000
5,1074,495,1056,1975,1975,2,2,153500
7,2196,701,2158,1990,1991,3,2,271900
4,1056,384,1056,1966,1966,2,1,107000
6,1700,544,1682,2003,2003,3,2,200000
5,1283,506,931,1962,1980,2,1,140000
8,1660,500,1660,2006,2006,3,2,290000
6,1845,462,1055,1992,1992,3,2,189000
8,1752,492,559,1988,2005,2,2,164000
4,672,234,672,1941,1950,2,1,113000
4,960,364,648,1965,2001,2,1,145000
5,999,300,925,1962,1962,2,1,134500
5,894,384,894,1966,1966,2,0,125000
6,1902,539,0,1978,1978,2,1,112000
8,1314,552,1300,2009,2009,3,2,229456
4,912,0,0,1947,1950,2,0,80500
6,1218,0,672,1971,1971,2,0,91500
5,912,288,912,1964,1964,2,1,115000
5,1211,322,952,1968,1968,2,0,134000
6,1846,315,1040,1949,1950,2,1,143000
5,2136,528,2136,1951,1951,2,1,137900
7,1490,388,788,2004,2005,3,3,184000
6,1138,264,588,1958,1958,2,0,145000
6,1933,668,894,2007,2007,3,3,214000
5,912,576,912,1965,2008,3,1,147000
9,1702,1052,1702,2008,2008,4,3,367294
5,1507,404,1075,1960,1960,2,1,127000
5,2620,600,1361,1977,1977,2,2,190000
5,1190,540,1106,1962,1962,2,0,132500
4,1224,462,0,1962,1962,2,1,101800
5,1188,531,1188,1959,1959,2,2,142000
5,1964,0,940,1911,1950,2,0,130000
5,1784,180,747,1914,1950,2,1,138887
7,1626,474,764,2003,2003,3,2,175500
7,1948,434,847,2004,2005,3,0,195000
6,1141,484,1141,2005,2005,2,1,142500
8,1484,472,1476,2006,2006,4,2,265900
7,1768,543,884,2003,2003,3,0,224900
7,1689,954,1689,2007,2007,3,2,248328
7,1173,528,1053,1974,1974,3,2,170000
